Project ID,Platform,Airframe,Theme,Registration(Optional),Note
FlyCat#1,FSX,Carenado C182 RG,Nekoha Shizuku,,First test build
FlyCat#2,MSFS (2020),Carenado C182 RG,Nekoha Shizuku,,First finished build
FlyCat#3,FSX/Prepar3d/X-Plane,Robinson R22,Nekoha Shizuku,,
FlyCat#4,FSX/Prepar3d/MSFS/X-Plane,F4U/FG-1D Corsair,Nekoha Shizuku,,
FlyCat#5,FS9,Iris F-35B,Nekoha Shizuku,,Test Build
FlyCat#6,MSFS 2024,Cessna C185F,Nekoha Shizuku,,MSFS 2024 Test
FlyCat#7,MSFS,Experimental Mini-500,Nekoha Shizuku,,
FlyCat#8,FS9/FSX/MSFS,T-45C,Nekoha Shizuku,,
FlyCat#9,FS9/FSX/MSFS,PC-21,Nekoha Shizuku,,
FlyCat#10,MSFS,Airbus A320neo,Nekoha Shizuku,,First Airliner
FlyCat#11,MSFS,Airbus A330-900,Nekoha Shizuku,,
FlyCat#12,FS9/FSX/Prepar3d/MSFS(2020/2024),Cessna 210 Turbo,Nekoha Shizuku,,
FlyCat#13,FS9,Barnett,Nekoha Shizuku,,Autogyro Test
FlyCat#14,MSFS,Experimental Mini-500,Nekoha Shizuku,,Refresh #1
FlyCat#15,MSFS,Experimental Mini-500,Nacho Neko,,
FlyCat#16,FS9/FSX/MSFS,Robinson R22,Nacho Neko,NYA-5723,First blender build
FlyCat#17,FS9/FSX/MSFS,Robinson R22,Nekoha Shizuku,NYA-5722,
FlyCat#18,MSFS,Cessna 182 RG,Nekoha Shizuku 2,NYA-0013,Refersh #1
FlyCat#19,FS9/FSX/MSFS,Cessna 210 Turbo,Nekoha Shizuku 2,NYA-0014,Refresh #1
FlyCat#20,FS9/FSX/MSFS,Beechcraft V35B,Nekoha Shizuku,NYA-0017,
FlyCat#21,FS9/FSX/MSFS,Beechcraft V35B,Nacho Neko,NYA-0016,
FlyCat#22,FS9/FSX/MSFS,T-45C,Nekoha Shizuku,NYA-572,Refresh #1
FlyCat#23,MSFS,Airbus A330-900,Nekoha Shizuku,NYA-0019,Refresh #1
FlyCat#24,FS9/FSX/Prepar3d/MSFS,F-35B,Nekoha Shizuku,NYA-020,first F-35 finished build
FlyCat#25,FS9/MSFS,WA-116,Nacho Neko,NYA-0021,Autogyro 2.0 builds
FlyCat#26,FS9/MSFS,WA-116,Nekoha Shizuku,NYA-0022,Autogyro 2.0 builds
FlyCat#27,FS9/MSFS,WA-116,Kurageu Roa,NYA-0023,Autogyro 2.0 builds
FlyCat#28,MSFS 2024,Cessna C185F,Nekoha Shizuku,NYA-0024
FlyCat#29,FS9/FSX/Prepar3d/MSFS,F4U/FG-1D,Nekoha Shizuku,NYA-25F,Refresh #1
