Flight Number, Start Time (UTC), Sim Start Time (UTC), Origination Airport, Origination Airport Name, Departure Runway, Destination Airport, Destination Airport Name, Flight Time, Flight Time - Day, Flight Time - Night, Flight Distance (nm), Take Offs, Day Takeoffs, Night Takeoffs, Landings, Day Landings, Night Landings, Aircraft Mfg, Aircraft Type, Aircraft Codename, Aircraft Model, Startup Location, Type of Flight Decoded, Latitude,Longitude,Weather,Flight Description
1,2022/10/9 13:49:07,2021/9/7 22:40:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:04:42,00:04:42,00:00:00,5.0910,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8464468717974,-111.787793375552,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-familiarisationflight"
2,2022/10/9 13:54:27,2018/9/7 22:40:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:02:17,00:02:17,00:00:00,1.5523,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6850511160547,-111.923049967736,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-attitudespitch"
3,2022/10/9 13:56:57,2018/9/7 22:40:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:01:54,00:01:54,00:00:00,3.0201,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6722103631864,-111.896924832836,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-attitudespitch"
4,2022/10/9 13:59:33,2018/9/7 22:42:00,KSEZ,"Sedona Airport,  Sedona AZ",0,48AZ,"Rimrock Airport,  Rimrock AZ",00:02:22,00:02:22,00:00:00,2.0018,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.730709125903,-111.84618213214,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-turns"
5,2022/10/9 14:18:59,2018/9/7 22:44:00,KSEZ,"Sedona Airport,  Sedona AZ",0,48AZ,"Rimrock Airport,  Rimrock AZ",00:01:36,00:01:36,00:00:00,2.3575,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.7279286124928,-111.838922984898,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-powersettings"
6,2022/10/9 14:21:04,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:07:32,00:07:32,00:00:00,7.8852,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6421466243407,-111.916164234281,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
7,2022/10/9 14:28:59,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,USA68,"",00:03:55,00:03:55,00:00:00,6.0960,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6415077361462,-111.847080420703,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
8,2022/10/9 14:33:09,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:07:15,00:07:15,00:00:00,7.1683,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.623249931262,-111.961759021506,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
9,2022/10/9 14:43:07,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,P52,"Cottonwood Airport,  Cottonwood AZ",00:04:39,00:04:39,00:00:00,2.4932,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.689568325543,-111.933841081336,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
10,2022/10/9 14:56:05,2021/2/1 11:25:00,VNSB,"Syangboche Airport,  Namche Bazaar P1",0,VNSB,"Syangboche Airport,  Namche Bazaar P1",00:02:36,00:02:36,00:00:00,11.6069,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_TURBO","asobo-aircraft-kingair350","Beechcraft King Air 350i Asobo",Flying,Discovery Flight,28.0694808408529,86.8963534198701,"Everest weather","asobo-discovery-everest"
11,2022/10/11 7:46:03,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,48AZ,"Rimrock Airport,  Rimrock AZ",00:08:27,00:08:27,00:00:00,4.4597,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.7041997650411,-111.871278220788,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
12,2022/10/11 7:55:03,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:07:37,00:07:37,00:00:00,6.5490,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.5996470617642,-111.902280282229,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
13,2022/10/11 8:02:53,2018/9/7 22:46:00,P52,"Cottonwood Airport,  Cottonwood AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:02:54,00:02:54,00:00:00,1.4631,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6859689554328,-111.924646385014,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-straightandlevelflight"
