Date,Time,Plane,Imm,From,To,Total,Day,Night,IFR,Multi,Aircraft,Landings,Count,Comment
23/07/2023,12:43,PILATUS PC21,-NO-,NM73,NM73,0.04,0.04,0.00,0.00,,Plane,NM73/1,1,
23/07/2023,13:40,CESSNA C182R,N379DL,XS39,,0.05,0.05,0.00,0.00,,Plane,,0,
23/07/2023,13:30,ATR 72 ATR 72,PR-PDB,,KBEH,0.50,0.50,0.00,0.00,Yes,Plane,KBEH/1,1,
09/08/2023,12:00,SIAIMARCHETTI,GAERO,TNCM,,0.05,0.05,0.00,0.00,,Plane,,0,
09/08/2023,12:56,SIAIMARCHETTI,GAERO,KCGX,,0.07,0.07,0.00,0.00,,Plane,,0,
21/08/2023,11:28,SIAIMARCHETTI,GAERO,VHHH,,0.14,0.14,0.00,0.00,,Plane,VHSK/1,1,
08/09/2023,13:27,CESSNA C182R,N379DL,48X,48X,0.01,0.01,0.00,0.00,,Plane,48X/1,1,
10/09/2023,12:48,CESSNA C182R,N379DL,E05,E05,0.03,0.03,0.00,0.00,,Plane,E05/1,1,
10/09/2023,12:47,CESSNA C182R,N379DL,E05,NM14,0.27,0.27,0.00,0.00,,Plane,NM14/1,1,
10/09/2023,12:40,Robinson R22,N6092U,,KFFA,0.07,0.07,0.00,0.00,,Helicopter,KFFA/1,1,
10/09/2023,12:41,CESSNA C182R,N379DL,KMQI,KFFA,0.12,0.12,0.00,0.00,,Plane,KFFA/1,1,
12/09/2023,13:18,CESSNA C182R,N379DL,FD88,KPHK,0.37,0.37,0.00,0.00,,Plane,KPHK/1,1,
16/09/2023,12:47,CESSNA C182R,N379DL,KJFK,KTEB,0.31,0.31,0.00,0.00,,Plane,KTEB/1,1,
14/10/2023,12:16,CESSNA C182R,N379DL,NJ96,19N,0.20,0.20,0.00,0.00,,Plane,19N/1,1,
12/07/2023,00:00,Ultralight trike,-NO-,,,0.00,0.00,0.00,0.00,,Plane,,0,
12/07/2023,00:01,CESSNA C182R,N379DL,,W20,0.06,0.01,0.05,0.00,,Plane,W20/1,1,
29/10/2023,09:53,ATR 72 ATR 72,PR-PDB,VHHH,VHHH,0.00,0.00,0.00,0.00,Yes,Plane,VHHH/1,1,
03/11/2023,11:33,C56X excel,NK0790C,KCGX,KCGX,0.18,0.18,0.00,0.01,Yes,Plane,KCGX/1,1,
03/11/2023,11:36,CESSNA C182R,N379DL,KCGX,,0.08,0.08,0.00,0.00,,Plane,,0,
05/11/2023,13:26,Cessna C210,-NO-,KCGX,,0.05,0.05,0.00,0.00,,Plane,,0,
16/11/2023,22:07,Ultralight trike,-NO-,,,0.00,0.00,0.00,0.00,,Plane,,0,
18/11/2023,11:47,CESSNA C182R,N379DL,KCGX,KCGX,0.08,0.08,0.00,0.00,,Plane,KCGX/1,1,
03/12/2023,11:11,CESSNA C182R,N379DL,KCGX,,0.15,0.15,0.00,0.09,,Plane,,0,
07/12/2023,12:23,F4U Corsair,-NO-,KFFA,KFFA,0.08,0.08,0.00,0.00,,Plane,KFFA/1,1,
04/01/2024,10:38,CESSNA C182R,N379DL,LTFJ,LTBA,0.30,0.30,0.00,0.00,,Plane,LTBA/1,1,
09/01/2024,10:43,CESSNA C182R,N379DL,LTBA,LTBU,0.48,0.48,0.00,0.10,,Plane,LTBU/1,1,
31/01/2024,12:00,CESSNA C182R,N379DL,KALM,KALM,0.15,0.15,0.00,0.00,,Plane,KALM/1,1,
00/00/0000,00:00,ATR 72 ATR 72,PR-PDB,NJ02,C01,0.12,0.12,0.00,0.00,Yes,Plane,NJ02/1,C01/1,2,
